order_id,order_date,region,country,product_category,product_subcategory,product_id,product_name,quantity,unit_price,revenue,currency,customer_id,channel,interest_rate,loan_amount,success_rate,transaction_fee,fraud_flag
ORD100000,2025-08-22,East,India,Lending,Personal Loan,LEN-763,Lending Personal Loan Plan 3,2,7840.97,15681.94,INR,C77221,Mobile,16.66,137498.0,,9.5,0
ORD100001,2024-09-20,South,India,Insurance,Auto,INS-847,Insurance Auto Plan 1,1,1981.88,1981.88,INR,C35658,Mobile,,,,18.69,0
ORD100002,2024-01-22,East,India,Payments,Gateway,PAY-113,Payments Gateway Plan 2,4,3948.13,15792.52,INR,C53001,Mobile,,,0.9,25.27,0
ORD100003,2025-04-23,West,India,Payments,Gateway,PAY-661,Payments Gateway Plan 4,1,4513.49,4513.49,INR,C99475,Mobile,,,0.9,27.28,0
ORD100004,2025-01-13,West,India,Lending,SME Loan,LEN-824,Lending SME Loan Plan 4,6,2011.57,12069.42,INR,C34300,Mobile,13.21,832038.0,,8.98,0
ORD100005,2025-07-26,North,India,Insurance,Auto,INS-938,Insurance Auto Plan 1,2,2953.16,5906.32,INR,C72592,Mobile,,,,41.1,0
ORD100006,2024-08-28,East,India,Payments,Card,PAY-939,Payments Card Plan 4,3,7127.2,21381.6,INR,C62256,Mobile,,,0.91,21.13,0
ORD100007,2024-02-07,East,India,Lending,Personal Loan,LEN-868,Lending Personal Loan Plan 1,1,5994.72,5994.72,INR,C16910,Mobile,9.2,541234.0,,30.26,0
ORD100008,2024-02-02,South,India,Payments,Card,PAY-195,Payments Card Plan 4,1,449.11,449.11,INR,C28141,Mobile,,,0.96,6.41,0
ORD100009,2024-08-27,East,India,Wealth,Robo-Advisor,WEA-745,Wealth Robo-Advisor Plan 4,4,2190.0,8760.0,INR,C79163,Mobile,,,,33.1,0
ORD100010,2025-09-30,West,India,Trading,Derivatives,TRA-358,Trading Derivatives Plan 3,2,3691.72,7383.44,INR,C68053,Mobile,,,0.9,34.15,0
ORD100011,2024-09-15,North,India,Lending,Personal Loan,LEN-791,Lending Personal Loan Plan 1,1,1374.68,1374.68,INR,C61005,Partner,10.19,929989.0,,47.43,0
ORD100012,2025-08-28,South,India,Trading,Derivatives,TRA-319,Trading Derivatives Plan 2,1,7180.25,7180.25,INR,C10854,Mobile,,,0.93,49.9,0
ORD100013,2024-12-01,South,India,Trading,Crypto,TRA-500,Trading Crypto Plan 3,2,5403.16,10806.32,INR,C47157,Mobile,,,0.91,31.67,0
ORD100014,2024-04-20,East,India,Wealth,ETF,WEA-870,Wealth ETF Plan 4,2,8201.03,16402.06,INR,C12811,Web,,,,27.87,0
ORD100015,2024-04-14,East,India,Payments,Card,PAY-971,Payments Card Plan 1,1,3616.93,3616.93,INR,C11802,Mobile,,,0.94,47.32,0
ORD100016,2024-07-25,South,India,Payments,Card,PAY-751,Payments Card Plan 1,3,2727.83,8183.49,INR,C39855,Web,,,0.92,28.83,0
ORD100017,2024-07-11,East,India,Lending,Mortgage,LEN-211,Lending Mortgage Plan 2,5,7314.37,36571.85,INR,C48360,Web,14.69,551157.0,,12.27,0
ORD100018,2024-09-29,South,India,Payments,Gateway,PAY-603,Payments Gateway Plan 4,3,4959.01,14877.03,INR,C56214,Web,,,0.95,5.81,0
ORD100019,2024-06-15,East,India,Lending,Mortgage,LEN-382,Lending Mortgage Plan 3,1,6436.06,6436.06,INR,C59377,Mobile,11.93,621621.0,,31.54,0
ORD100020,2025-01-12,North,India,Wealth,Robo-Advisor,WEA-116,Wealth Robo-Advisor Plan 4,2,2113.38,4226.76,INR,C28589,Partner,,,,6.09,0
ORD100021,2024-08-02,West,India,Trading,Crypto,TRA-355,Trading Crypto Plan 3,5,351.47,1757.3500000000001,INR,C36641,Mobile,,,0.94,18.25,0
ORD100022,2024-06-03,East,India,Trading,Derivatives,TRA-254,Trading Derivatives Plan 2,1,5786.6,5786.6,INR,C55017,Web,,,1.0,32.68,0
ORD100023,2024-08-05,Central,India,Wealth,Robo-Advisor,WEA-924,Wealth Robo-Advisor Plan 4,2,3105.8,6211.6,INR,C80316,Mobile,,,,32.52,0
ORD100024,2024-03-26,West,India,Payments,UPI,PAY-150,Payments UPI Plan 1,1,8888.85,8888.85,INR,C62921,Mobile,,,0.94,31.05,0
ORD100025,2025-07-15,South,India,Payments,UPI,PAY-363,Payments UPI Plan 1,1,498.9,498.9,INR,C13051,Partner,,,0.94,42.02,0
ORD100026,2025-03-20,Central,India,Lending,SME Loan,LEN-769,Lending SME Loan Plan 3,2,2104.92,4209.84,INR,C96672,Mobile,17.76,810463.0,,11.23,0
