Station,Dates,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_12,Data_13,Data_14,Data_15,Data_16,Data_18,Data_19,Data_20,Data_21,Data_22,Data_23,Data_24,Data_25,Date_Time,Result
CT,2021-01-01,1.411,,,,,1.508,,,,,,,,,,,,,,,,,,2021-01-01,Unknown
CT,2021-01-02,1.522,,,,,1.535,,,,,,,,,,,,,,,,,,2021-01-02,Unknown
CT,2021-01-03,1.43,,,,,1.496,,,,,,,,,,,,,,,,,,2021-01-03,Unknown
CT,2021-01-04,1.355,,,,,1.514,,,,,,,,,,,,,,,,,,2021-01-04,Unknown
CT,2021-01-05,1.087,281.0,56.5,13.1,7.42,1.272,4.8,8.5,13.8,7.22,9.07,10.0,0.0,5.7,0.7,276.200012,0.982918,0.849558,50.920704,90.172081,0.0,60.468334,7.425936,2021-01-05,Unknown
CT,2021-01-06,1.018,,,,,1.133,,,,,,,,,,,,,,,,,,2021-01-06,Unknown
CT,2021-01-07,0.98,,,,,1.121,,,,,,,,,,,,,,,,,,2021-01-07,Unknown
CT,2021-01-08,1.061,,,,,1.185,,,,,,,,,,,,,,,,,,2021-01-08,Unknown
CT,2021-01-09,1.321,,,,,1.276,,,,,,,,,,,,,,,,,,2021-01-09,Unknown
CT,2021-01-10,1.299,,,,,1.318,,,,,,,,,,,,,,,,,,2021-01-10,Unknown
CT,2021-01-11,1.175,,,,,1.371,,,,,,,,,,,,,,,,,,2021-01-11,Unknown
CT,2021-01-12,1.135,403.0,28.0,12.2,7.23,1.326,6.5,9.5,12.0,7.15,8.48,20.0,1.2,5.4,0.84,396.5,0.983871,0.660714,71.882462,105.058983,13.270608,59.717735,9.289426,2021-01-12,Unknown
CT,2021-01-13,1.122,,,,,1.29,,,,,,,,,,,,,,,,,,2021-01-13,Unknown
CT,2021-01-14,1.12,,,,,1.265,,,,,,,,,,,,,,,,,,2021-01-14,Unknown
CT,2021-01-15,1.121,,,,,1.168,,,,,,,,,,,,,,,,,,2021-01-15,Unknown
CT,2021-01-16,1.217,,,,,1.182,,,,,,,,,,,,,,,,,,2021-01-16,Unknown
CT,2021-01-17,1.211,,,,,1.18,,,,,,,,,,,,,,,,,,2021-01-17,Unknown
CT,2021-01-18,0.987,,,,,1.024,,,,,,,,,,,,,,,,,,2021-01-18,Unknown
CT,2021-01-19,0.97,279.0,342.0,11.7,7.5,1.132,12.9,,13.0,7.35,8.69,10.0,0.17,4.1,0.55,266.100006,0.953763,1.0,121.787354,0.0,1.60495,38.707607,5.192484,2021-01-19,Unknown
CT,2021-01-20,0.979,,,,,1.065,,,,,,,,,,,,,,,,,,2021-01-20,Unknown
CT,2021-01-21,1.039,,,,,1.197,,,,,,,,,,,,,,,,,,2021-01-21,Unknown
CT,2021-01-22,1.157,,,,,1.291,,,,,,,,,,,,,,,,,,2021-01-22,Unknown
CT,2021-01-23,1.191,,,,,1.247,,,,,,,,,,,,,,,,,,2021-01-23,Unknown
CT,2021-01-24,1.233,,,,,1.284,,,,,,,,,,,,,,,,,,2021-01-24,Unknown
CT,2021-01-25,1.099,,,,,1.228,,,,,,,,,,,,,,,,,,2021-01-25,Unknown
CT,2021-01-26,0.96,139.0,155.0,11.2,7.55,1.089,5.9,6.0,12.1,7.59,9.3,10.0,0.67,5.2,0.62,133.100006,0.957554,0.96129,53.585335,54.493561,6.085114,47.227753,5.631001,2021-01-26,Unknown
CT,2021-01-27,0.22,,,,,0.217,,,,,,,,,,,,,,,,,,2021-01-27,Unknown
CT,2021-01-28,0.22,,,,,0.217,,,,,,,,,,,,,,,,,,2021-01-28,Unknown
CT,2021-01-29,0.671,,,,,0.762,,,,,,,,,,,,,,,,,,2021-01-29,Unknown
CT,2021-01-30,0.973,,,,,0.984,,,,,,,,,,,,,,,,,,2021-01-30,Unknown
CT,2021-01-31,0.934,,,,,0.952,,,,,,,,,,,,,,,,,,2021-01-31,Unknown
CT,2021-02-01,0.941,,,,,1.047,,,,,,,,,,,,,,,,,,2021-02-01,Unknown
CT,2021-02-02,0.973,271.0,232.0,10.9,7.88,1.084,5.1,8.0,10.8,7.43,8.86,10.0,0.65,15.2,0.39,265.899994,0.981181,0.965517,46.106857,72.324478,5.876364,137.416519,3.525818,2021-02-02,Unknown
CT,2021-02-03,1.061,,,,,1.239,,,,,,,,,,,,,,,,,,2021-02-03,Unknown
CT,2021-02-04,1.089,,,,,1.216,,,,,,,,,,,,,,,,,,2021-02-04,Unknown
CT,2021-02-05,1.16,,,,,1.195,,,,,,,,,,,,,,,,,,2021-02-05,Unknown
CT,2021-02-06,1.209,,,,,1.258,,,,,,,,,,,,,,,,,,2021-02-06,Unknown
CT,2021-02-07,1.331,,,,,1.281,,,,,,,,,,,,,,,,,,2021-02-07,Unknown
CT,2021-02-08,1.127,,,,,1.177,,,,,,,,,,,,,,,,,,2021-02-08,Unknown
CT,2021-02-09,1.122,232.0,142.0,10.1,7.9,1.158,6.4,4.0,11.3,7.95,8.81,10.0,0.42,2.2,0.39,225.600006,0.972414,0.971831,61.809406,38.630878,4.056242,21.246984,3.766511,2021-02-09,Unknown
CT,2021-02-10,1.094,,,,,1.145,,,,,,,,,,,,,,,,,,2021-02-10,Unknown
CT,2021-02-11,1.046,,,,,1.113,,,,,,,,,,,,,,,,,,2021-02-11,Unknown
CT,2021-02-12,1.042,,,,,1.083,,,,,,,,,,,,,,,,,,2021-02-12,Unknown
